国家这次动真格了，621万人被严罚，不但自己受罚，子女也被连累	今天，我去找音乐老师学踢足球，发现音乐老师的心情不太好。细细追问后，才明白音乐老师心情不好的原因。原来前几年，音乐老师的朋友问她借了一笔钱，已经过了约定还款的时间。但那个朋友却没有还款。当时音乐老师不急着用钱，但就没有催他。现在音乐老师遇到了难事，想让他还钱，结果怎么都要不过来，后来干脆失联了。音乐老师作为一个女孩子，第一次遇到这样的事情，没有经验应对一下，又苦于血汗钱要不回来，一时之间有些郁闷。我也不知道怎么安慰音乐老师，只是没有想到这么好的一个女孩子，居然也会遇到老赖。正在我安抚音乐老师的时候，体育老师出现了。听完事情的经过，体育老师劝音乐老师不用着急，直接起诉就行。反正音乐老师手里有借款人的借条，上面关于借款、还款日期，以及借款期间的利息，都是合法合规的，只要法庭受理，钱就能要回来。音乐老师一开始是不想起诉的，后来想了想，还是去了法院。我在体育老师面前怒斥了老赖的行为，体育老师深以为然。体育老师告诉我，在现在的社会生活，一个人如果不背负一点贷款是很难的事情。毕竟现在消费比较高，而收入也不是很高。不管是买车还是买房，都需要银行的帮助。所以办理贷款没有关系，但是却有一些人心思不正，用贷款满足了自己的消费后，到了还款日期却不偿还贷款，恶意逾期，欠账不还。这样的人，称之为老赖也不为过。过去我们国家发展得很快，但在处理欠钱不还的老赖的力度上稍微有些弱，也就是俗称的试错成本比较低。所以导致了一些人感觉当老赖虽然名声不好听，但实际上没有损失多少钱。所以一些人在背负老赖的名头后，愈加有恃无恐。体育老师告诉我根据央行发布的《2020年第一季度支付体系运行总体情况》显示，目前我国银行已经发放了85.28亿张银行卡，人均拥有6.09张银行卡。其中信用卡和借贷合一卡发放数量为7.49亿张，人均拥有0.53张信用卡和借贷合一卡。所谓的信用卡和借贷合一卡就是我们常说的透支卡，也就是透支消费的来源。根据《2020年第一季度支付体系运行总体情况》显示，截止到2020年第一季度末，信用卡逾期半年的信贷总额为918.75亿元，也就是说截止到第一季度末，全国有超过900亿元的钱逾期了，而且逾期的还是半年以上。这份情况报告，没有统计逾期一天到半年之间的信用额度，如果统计进去只怕逾期的信贷总额更多，足见眼下我国的逾期情况有多严重。根据中国执行信息网显示，截止到2020年11月25日，目前公布的失信被执行人（俗称“老赖”）有621万人（具体数字为6212257人）！不管是高达900亿元的逾期信贷总额还是超过600万的老赖，足以说明当下我国欠钱不还的人很多。所以这次国家动真格了，要严查这621万人。这些老赖不但自己受罚，还连累自己的家人，尤其是子女。首先老赖受到的惩罚，是禁止进行高消费，限制出行，比如飞机、高铁等出行方式就不用想了，不能购票。其次是购买房产、奢侈品，到高档酒店消费等等也将被禁止。以上这些措施只是处罚老赖本人的，其实有些老赖不在乎对自己的处罚，但是随着这次严厉的处罚，他们的家人也将受到老赖的牵连。首先是妻子，如果债务是夫妻双方一同欠下的，那么处罚将一同承担。其次是子女，子女将被禁止进入高收费的私立学校就读。有些地区已经施行。在老赖事件中，最无辜的就是子女，他们没有做错什么，却因为父母的不作为受到了连累，而且这个连累有可能会持续一生。比如子女在大学毕业后，如果想当公务员，有可能会因为父母是老赖，而无法成为公务员，至于参军，那就更不用想了。所以到了最后体育老师告诉我，千万不能因为钱成为老赖，因为到时候受苦的不仅仅是自己，还有无辜的子女以及家人。
采掘服务第一龙头，年报预增6579％，现价7目标55，外资重仓450亿	保险股上扬，中国太保一度大涨7%，宏利金融、中国太平、中国平安均升超2%。日前，银保监会官网发布《保险代理人监管规定》，首次提出了“独立个人保险代理人”概念，并将保险代理机构中从事销售保险产品乃至进行损失勘察、理赔等业务的人员都纳入监管，取消了许可证3年有效期的设置。
有20万别再存定期了，银行员工透露，这样存，每年躺着拿近万！	在许多银行产品中，银行定期存款一直受到储户的青睐，因为在许多人看来，银行定期存款是资本保全和利息保护的一种手段，而且存款的门槛很低。可以说每个人都可以接受，但是据银行行长的说法：如果你的存款超过20万，就别再傻傻存定期了，这是为什么呢？实际上，除定期存款外，该银行的本金和利息担保财务管理方法还包括国债和大额存单。国债通常有发行的时间，并且有太多人抢购。如果不是运气好想要买到国债并不是那么容易，那么除了定期存款之外，大额存单就是很多人不二的选择。大额存单是大额存款的升级版本。两者的区别在于，大额存款的最低金额为50元，大额存款的流动性不高，收益率也不太高。如果定期存款是三年期的大型存款业务，则利率为3.25％。当三年内无须支付押金时，提取本金20万元。本金全部根据当前利率计算。当前的利率非常低，因此大笔存款在流量方面没有优势。自2015年6月以来，大额存单一直是许多银行中利率最高的产品。但是，由于存款门槛很高，许多存款人只能望而却步，已经有20万人达到了大额存款证的存款门槛。三年期大额存单的年利率可以达到3.8％，部分小银行的年利率甚至可以达到4.3％，这意味着年利率可以达到8600元。地方银行和民营银行的定期存款利率都高于大额存款存单，并且对最低存款额20万没有限制。但无论如何，大额存单是银行面对外部竞争而推出的一种产品。尽管由于起点较高，很多人无法享受它，但是，如果有20万元的存款，存大额存单将会比你存定期所得的利息高得多。
起底80后巨骗高靖，20亿身价全靠蛋壳公寓骗政府坑租客房东？	然而，这样的慨叹，显得有些无力。近日，此前一直坚称“没有破产，不会跑路”的蛋壳公寓，因资金链紧张，无法给房东支付租金，一些房东进而以深夜撬锁、断水断电等方式驱逐租客，使蛋壳、房东、租客之间的“裂缝”越发明显，被央视点名曝光，披露其“深陷流动性危机”。创办蛋壳之前，高靖也是一位“打工人”。2005年，从北京交通大学计算机专业毕业后，高靖留在此前实习过的百姓网，一开始就独当一面，着手建立北京分公司。他用四年的时间，将北京分公司打造成一个30人团队，为百姓网打开新市场。关键时刻，沈博阳联系高靖：“我不是挖你，也不是让你来和我创业，而是给你一笔投资，由你自己去闯。”后来的事情变得明朗。高靖瞄准租房市场，为了解决年轻人租房难，常常被黑中介、黑房东“坑”的痛点，他切入长租公寓这个赛道。最彪悍的是，2017年，万科集团副总裁毛大庆离职，创办优客工场。他和高靖见面聊了20分钟，“甚至都没有特别仔细地看蛋壳的计划书”，便砸下数亿元A+轮融资。有了资本的加持，蛋壳公寓迅速扩张，从最初三个人到超过5000人，从最早租下的一套房，发展到40万间房。急速扩张的结果是，烧钱速度远快于融资速度，而蛋壳已经成了奔跑的猎豹，完全停不下来。这时候，“租金贷”成为高靖缓解资金需求的救命稻草。另一方面，蛋壳公寓按月给房东支付租金。换句话说，长租公寓用租客的租约和信用作为抵押，自己获得贷款，沉淀了大量资金，而且连利息都没有，贷款和利息都转嫁给租客，玩了一把“空手套白狼”。。这样操作，高靖不是坐着收钱吗？并不是，长租公寓是一个重资产行业，从房东手里收到房子后，还没赚钱就得先投入几万，用于装修、运营等。根据蛋壳招股书，每一套新增房源的成本要12至20个月才能收回。一边重资产、高成本、收回成本时间长，一边租金贷可以“止渴”，于是，抢房源抢租户，获得更多资金沉淀，成为关键。正因如此，包括蛋壳在内的长租公寓滋生出“高收低租、长收短付”模式，继续狂奔。“租金贷”裹挟前进，让蛋壳公寓获得资金，但是，一旦长租公寓扩张放缓，资金回流变慢，资金链断裂随时发生，如若暴雷，使用了租金贷的租客，即使被房东赶出去，也得分期还租金，不然会对征信产生影响。一项完全藐视商业逻辑乃至商业底线的业务，注定难以长久。随着“甲醛房”出现，以及长租公寓暴雷现象时有发生，资本市场也不再像最初那样动辄砸入数千万数亿，而是迅速冷淡。重点是，奔跑了几年的蛋壳公寓完全没赚到钱，反而常年亏损。2017年，蛋壳公寓亏损2.7亿元，2018年亏损13.7亿元，到2019年亏损扩大到34.5亿元。短短三年，亏损50.9亿元。2019年底，高靖和江苏昆山花桥经济开发区达成一项合作计划，蛋壳公寓将投资总部设在这里，开发区出资6亿元，蛋壳出资6.25亿元，成立一个投资基金。原本安徽还有一家国资公司，表示会出资15至18亿元，初期总共30亿元资金，一起对外投资。合资达成后，高靖宣称的安徽国资却不见踪影。即便如此，高靖与花桥经济开发区的合作仍然继续进行。或许是与国资合作的利好推动，蛋壳也有一定规模，2020年1月，蛋壳公寓登陆美国纽交所，上市当天市值27亿美元。高靖因持有13.5%的股权，个人身价一夜暴涨到20亿元，一举成为亿万富豪。。四月份，蛋壳公寓和花桥经济开发区的12.25亿元，一起转到了投资基金的账户。没多久，蛋壳公寓出资的6.25亿元，以借款形式，回到蛋壳公寓账户，连花桥经济开发区的6亿元也被转走5.5亿元。高靖对资金的极度渴求可见一斑，他硬是对江苏昆山国资“行骗”，结果，当然是栽了个大跟头。6月18日，蛋壳公寓发布人事任免公告，透露出高靖被相关地方政府调查的信息。――END――欢迎关注【华商韬略】，识风云人物，读韬略传奇。
又一投资“神人”现身！15年资金翻2000倍，今坐拥“千亿资产”	生活中很多成年人都在为了赚钱而拼搏奋斗，通过自己辛勤的劳动换来薪水，慢慢地积累着财富。其实赚钱的方式有很多，有些人会通过体力劳动来赚钱，还有些人会通过脑力劳动来赚钱！有些人通过自主创业来赚钱，有些人通过给别人打工来赚钱，还有很多人会通过投资来赚钱。投资赚钱确实是非常不错的赚钱方式，不用出卖自己的体力劳动，不过需要学习很多知识，需要拥有投资眼光。无论是炒股还是购买基金都需要一定的眼光，说到投资就不得不说一说巴菲特，他就是一个“传奇”人物，他通过投资赚到了很多钱。他不做实体，通过不断投资让自己成为了全世界知名的投资人。国内做投资比较厉害的人也有很多，如今日资本集团的徐新，她被称为“投资女神”，在投资界是非常有名的，她多次投资都让她赚得盆满钵满。还有高瓴资本的张磊，同样也是一名出色的投资人。可能说到张磊，很多人对他根本就不了解，但是对他所投资的腾讯、京东一定各个都非常清楚。张磊同样钟爱价值投资，如今的张磊已经成为了国内PE投资不可忽视的力量，那么他是怎么样一步步拥有今天的成就的呢？张磊在1972年的时候出生在了河南省驻马店市，其实他的家庭条件是非常不错的，他的父亲是外贸局的公务员，而他的母亲是一名律师。虽然家庭条件不错，但是他的父母平时也非常忙，很少有时间去管教他。不过正是因为如此，张磊小时候就非常独立，在7岁的时候他的经营天赋就已经开始显现了。因为他家在火车站附近，于是他将自己的连环画出租给候车的人看，他还因此赚到了一些钱。在小学升初中的时候他只考了141分，只比最低录取分数多了一分，是妥妥的“学渣”。之后因为看了一篇文章，他受到了启发，觉得自己的一生不应该虚度，于是在上高二的时候，他开始发奋学习，成为了“学霸”，高考的时候还是河南省的文科状元。1994年的时候张磊毕业后进入了央企工作，来到了五矿集团，在工作期间他的洞察力得到了锻炼，并且在工作的过程中他经常和海外客人交谈，于是他认为金融在未来有很大的发展前景，于是决定去耶鲁大学进修。1998年他成为了耶鲁大学的学生，虽然他获得了奖学金，但是只能获得一年，之后的学费还得自己交。于是他开始疯狂找工作，最终他在耶鲁投资办公室找到了一份实习生的工作，也因此和耶鲁大学的大卫・史文森一起共事。大卫・史文森也成为了他的恩师，之后张磊的出色表现也获得了史文森的欣赏，于是恩师将很多投资方面的经验和理论知识都传授给了他。从耶鲁毕业之后开始在美国一家公司上班，直到2005年他选择回国创业。回国后他成立高瓴资本，并且拥有3000万美元的资本，张磊想着可以先将鸡蛋放在一个篮子里面，这样能够让利益最大化。于是他看上了腾讯，并且将大部分资金都压在了腾讯上面。此时的腾讯刚刚上市不久，他投资腾讯之后，腾讯也确实没有令他失望，股价大涨，这笔投资也升值了200倍，他也因此赚到了不少钱。此次投资成功之后，张磊的名气也变得越来越高，之后在2010年的时候，他还投资了耶鲁。当时的京东盈利能力还不够强，但是又想着建立自己的物流体系，很多资本市场都不看好京东。此后刘强东遇到了张磊，并且和他说了京东的物流计划，希望高瓴资本可以投资，并且刘强东想要7500万美元的投资。张磊听了刘强东的介绍之后，觉得京东的未来可期，表示要么投3亿要么1分不投。张磊确实没有看走眼，3年之后京东上市了，张磊最初投资的3亿美元一下子就飙升到了39亿美元。如今的高瓴资本的资金规模，已经从最初的3000万美元攀升到了600亿美元(约合4026.72亿人民币)，只用了15年的时候就增长了2000倍，简直就是“神话”般的存在。高瓴资本在张磊的带领下一路高歌猛进，成为了国内著名的投资机构之一，尤其擅长长期结构性价值投资。就目前来看，高瓴资本已经在科技创新、金融科技、企业服务以及生命健康等等领域投资了很多优秀的国内外企业，高瓴资本未来发展一片大好！
大盘点！2020年下半年最热门的4款百万医疗险	总有一款适合你！众安尊享e生2020：百万医疗领跑者做为一年期的百万医疗领跑者，升级到2020版本以后，仍然非常不错。保障全面，可附加重疾保险金和重疾津贴增值服务全，看病帮你垫付，指定药房买药不用掏钱，特药目录涵盖83中靶向药及免疫治疗药物。续保，不会因为被保险人健康变化。不能保证续保，只能买一年保一年适合谁：看重医疗险增值服务的朋友复星超越保2020普通版：高端就医体验续保条件好,6年内保证续保，就医体验好：享受专家会诊，独立病房等高端服务免赔额递减：未发生理赔，免赔额每年递减1000，最高可减50006年后续保不确定适合谁：预算较多，且在意高端就医体验。人保好医保: 大品牌支付宝平台大流量支持，销量特别大。续保条件好：首先是6年内保证续保，理赔、停售等情况都不影响续保。理赔门槛较低，好医保是6年内累计1万就行了。停售续保新产品有不确定性，人保好医保停售后，虽然能免健康告知续保新品，但到时新品保障是不确定的。需要大家注意的是，健康告知很宽松，条款中免责条款规定的其他疾病的既往症是不报销。适合谁：追求保障全面，想要续保更稳定的人。平安e生保长期医疗：大品牌高性价比最大的亮点：可以保20年。保费能打折：家人3个人以上一起买，可以享受95折续保需审核，满20年后，续保需审核健康情况不保外购药，没有费用垫付、质子重离子。适合谁：看重保障时间的朋友有保险问题可以留言，限时咨询保险方案。
蚂蚁千亿融资为何能获批？业内人士：其ABS存量规模太大，一断就有风险	蚂蚁暂缓IPO三个多星期后，其发行资产支持专项计划（简称ABS）获得上交所通过。11月25日，上海证券交易所官网显示，已于近期通过蚂蚁集团旗下两家网络小贷公司的各100亿元额度ABS发行，另已受理三笔总计260亿元ABS发行申请。“这是个常规业务。”一位华东券商资产证券化业内人士表示，蚂蚁ABS已经是多年的成熟产品，资产证券化也是监管认可的标准化产品。另一固收业内人士则认为，“蚂蚁ABS存量规模太大，这个不能断，断了就出风险了。”根据企业预警通统计，截至目前，蚂蚁已发行7286.03亿元ABS产品。《21世纪经济报道》记者获悉，蚂蚁集团发行的ABS产品进行了分层设计，花呗ABS一般分为三层，包括优先、次优先、次级，优先级占主要部分。在其中一笔蚂蚁ABS中，优先级、次优先级、次级资产支持证券占比为89%、4%、7%。ABS出表是蚂蚁做大贷款规模的重要手段之一。蚂蚁集团所促成的2.15万亿元贷款当中，属于表内贷款占比只有2%，其余的98%由合作金融机构发放或者ABS证券化。不过，备受争议的网络小贷“无限杠杆”行将终结，ABS出表亦将受限。根据央行、银保监会11月发布的小贷新规，网络小贷通过标准化融资（债券、资产证券化产品等）余额不得超过净资产4倍。11月25日，上交所公司债券项目信息平台公告显示，蚂蚁集团旗下的花呗和借呗两个ABS融资项目状态已更新为通过，合计规模200亿元，分别是国泰君安借呗第4-12期消费贷款资产支持专项计划、中信证券花呗一至十期授信付款资产支持专项计划。另有3个项目状态为已受理，分别为天弘创新花呗第8-15期消费授信融资资产支持专项计划、财通资管花呗授信付款资产支持专项计划和中信证券借呗五至十四期消费贷款资产支持专项计划。规模分别为80亿元、80亿元和100亿元。根据企业预警通统计，截至目前，蚂蚁已发行7286.03亿元ABS产品，其中通过蚂蚁商诚小贷发行2632.03亿元ABS产品，通过蚂蚁小贷发行4654亿元产品。实际上，在蚂蚁集团IPO被紧急叫停后，一直被热捧的蚂蚁ABS仍在继续发行。11月23日，蚂蚁商诚小贷发行了17亿元ABS，债项评级AAA。不过，IPO暂停亦对ABS产生立竿见影的影响。11月9日蚂蚁商诚小贷发行AA+评级2.03年期ABS，票面利率4.97%，大幅高于今年6月-9月3.75%-4.55%的票面利率区间。对于蚂蚁ABS的发行，一位资产证券化人士表示，接下来，蚂蚁ABS发行利率大概率会有所提升，但花呗、借呗ABS获批意味着相关资产支持证券仍然继续获得了官方的认可，这也是一个市场运行多年的成熟产品，还是会有资金购买。另一ABS人士则认为，近期蚂蚁ABS发行可能会有一些难度，关键看能否说服各大银行。有业内人士指出，在资产证券化市场中，蚂蚁ABS是较为特殊的一家。花呗、借呗的底层资产均为小额、高度分散的借贷类资产。资产证券化一般是要看底层资产的项目信用，参考发行人的主体资质。但一定程度上，业内还是比较看重蚂蚁集团的信用资质。蚂蚁ABS的底层资产到底有多分散？《21世纪经济报道》记者获得的一份蚂蚁ABS发行说明显示，蚂蚁旗下的主力消费信贷产品――蚂蚁花呗，账单分期、交易分期的户均贷款大约为1600元、2500元。《21世纪经济报道》记者获悉，蚂蚁集团发行的ABS产品进行了分层设计，其中优先级的购买方一般是银行自有资金和理财资金，劣后级一般由券商、资管资金购买，甚至计划管理人亦会持有一部分。花呗ABS一般分为三层，包括优先、次优先、次级，优先级占主要部分。在其中一笔蚂蚁ABS中，优先级、次优先级、次级资产支持证券占比为89%、4%、7%。增信措施包括：原始权益人根据《资产买卖协议》的约定赎回不合格基础资产；管理人有权对相关不良基础资产进行处置，或委托资产服务机构对不良基础资产进行处置；次级资产支持证券为优先、次优先级资产支持证券提供信用增级；依据市场发行情况与项目增信情况，总覆盖倍数超过110%，以提供信用增级；设立加速清偿机制，条件为：存续期内，资产池内的资金及未偿本金余额之和累计60个自然日未达到ABS、未偿本金余额的100%，连续5个工作日基础资产不良率（含已处置不良资产）超过6%。根据花呗ABS发行说明，蚂蚁ABS风险管理通过资产抽样、T+1监测等手段实现。其中，管理人在尽职调查中，对蚂蚁大资产池进行抽样，确认其对每笔资产转让进行明确标识，有效防范不同产品间资产混同风险。管理人在贷后管理中，对每个资产包进行抽样，确认符合合格标准，资产特征表现一致性。通过资产查询平台实现对资产池数据的每日跟踪管理。每日数据监控包括总资产规模、资产池收益率、资金闲置比率、逾期率、不良率等。通过资产证券化这一路径，蚂蚁集团将花呗、借呗资产“出表”，再由投资人买入持有，循环贷出资金。这一“轻资产”模式占用资本金较小，但蚂蚁也因此被指责一些业内人士指责“无限杠杆”。蚂蚁集团所促成的信贷规模飞速增长，主要是依靠联合贷款以及助贷模式。2.15万亿元的贷款当中，属于蚂蚁集团的表内贷款占比只有2%，其余的98%都是由合作金融机构发放或者证券化。问题的关键仍在于“巴塞尔协议”。网络小贷公司“规避”杠杆监管，以较低注册资本放出上百亿贷款。原因是，通过ABS出表后，联合贷款机构不计入杠杆范围，也不需计提风险资本。“巴塞尔协议要求金融机构自己承担风险”。一位固收业内人士表示，交易所ABS属于标准化资产不是“非标”，银行、券商购买当然是合规的。花呗、借呗通过ABS出表后，蚂蚁将收益和风险转移给了相应投资人，银行自有资金作为投资人是要对其购买蚂蚁ABS资产按照巴塞尔协议计提风险资本，蚂蚁已不需要再按巴塞尔协议计提风险资本，否则就是双重计提。不过，其表示，若是保本理财，投资人购买蚂蚁ABS，按规定并不需要计提风险资本，但银行理财实质上“刚兑”。刚兑而不按巴塞尔协议计提风险资本，这是一个bug。不过瑕不掩瑜。自监管到业界，均表示了对银行自有经营资金（资本）的要求及风险进行考核的《巴塞尔协议》的支持。而备受争议的网贷“无限杠杆”行将终结，约束来自于监管对网络小贷资本金、联合贷款出资比例等的限制。11月2日，中国人民银行、银保监会下发了《网络小额贷款业务管理暂行办法（征求意见稿）》（简称小贷新规）。小贷新规的监管指向之一，是“控杠杆”，打破之前以较低资本金实质放出数百亿贷款的怪相。小贷新规对杠杆总体水平全方位“压降”：单笔联合贷款中，网络小贷公司出资比例不得低于30%。对外融资杠杆率限制在5倍，即：网络小贷公司的非标融资（银行借款、股东借款等）余额不得超过净资产1倍；通过标准化融资（债券、资产证券化产品等）余额不得超过净资产4倍。也即，若小贷新规落地后，蚂蚁等Bigtech发行ABS出表，规模最高不得超过净资产4倍。广东小贷协会常务副秘书长徐北认为，全国性（跨区）互联网小贷的批复设立、重大事项变更、风险处置等全部收归银保监会，但日常监管还有可能放至各省金融局。50亿资本金可能只是门槛，后面还有各种要求、标准等细则在路上。
继分摊费高涨后，相互宝“再陷”风波，这一次银保监会“出手”了	随着支付宝的“相互宝”用户数量越来越多，很多潜在的危险也渐渐被挖掘出来。再加上前段时间，相互宝悄悄的上涨了分摊费，和此前一年相比，足足翻了几十倍。这也让不少用户有了意见。分摊费暴涨，虽然不少用户有异议，但是看在相互宝能够保障30万的情况下，很多人还是愿意继续缴纳这些分摊费，但是前几天银保监会打非局发布了一篇文章，而这篇文章中不仅提到了相互宝，还提到了另外一位“明星”平台――水滴筹，这些网友们彻底坐不住了。被银保监会打非局官方提起，这两大网络互助平台，恐怕少不了一顿非议。果然，在文章发布之后，网上掀起了一阵热议潮。原因就是银保监会打非局称，相互宝、水滴筹等网络互助平台，会员数量庞大，属于非持牌经营。一旦属于非持牌经营，则意味着涉众风险不容忽视，也就是说，他们的收费模式让平台沉淀了不少资金，存在跑路风险，一旦处理不当、管理不到位的情况下，有可能引发社会风险。官方都出来发布警示了，相互宝和水滴筹也坐不住了。文章发布后不久，相互宝赶紧站出来回应此事，相互宝表示，平台公开透明，不存在资金池，同时相互宝也表示，期待监管更多的指导。虽然相互宝主动做出了回应，但是舆论风波并没有就此平息，此前相互宝暴涨的分摊费以及高达8%的管理费，再加上严苛的“拒赔”理由，都成为了网友们质疑的3大点。这一次又被爆出有“跑路风险”，谁还能稳如泰山？生活中大部分人都缴纳了社保，但是医保虽好，在大病治疗时报销的并不多，因此相互宝、水滴筹这类互助平台，得到了不少人的青睐。即便是这类平台存在不少未知的风险，但是很多网友也表示，自己的经济损失并不多，目前还谈不上爆雷。虽然相互宝存在“拒赔”情况，但是相比于拒赔，得到赔偿的人就等于赚了，一个人只需要几块钱的分摊费，在需要的时候可以得到最高30万的赔偿，这个诱惑对于很多普通人来说，还是十分有吸引力的。比起商业保险来说，网络互助完美的填补了保障“裸奔”的风险，不过再好的平台，他也存在一定的风险，这一次被银保监会打非局“点名”，这也意味着网络互助这个市场，还需要更多的监管和规范。此前水滴筹也出现了不少负面新闻，而相互宝作为一个拥有1亿用户的大型网络互助平台，并不是说随意就能取消的，不过银保监会既然已经“点名”，这也意味着国家已经开始关注这些网络互助平台了。幸运的是，今年以来，银保监会已经多次提出要将网络互助平台纳入监管，一旦提议成功，未来这些网络互助平台，将会得到更多的官方“监管”，这样对于用户来说，也多添了一份保障。大家以后使用网络互助平台，也能更安心一些。参考来源中国新闻网《银保监会打非局：相互宝、水滴互助等属于非持牌经营》
北大方正人寿李平：打造客户与队伍双循环核心态势	本报记者 陈晶晶 北京报道2020年11月23日，由《中国经营报》和中经未来主办的“2020中国企业竞争力年会周”盛大开幕。作为财经界具有权威性和前瞻性的盛会，本届年会周汇聚中国商界智库及顶级企业家思想，探寻中国经济与企业的共同发展之路，为政府、企业、中外知名学者搭建思想交锋和智慧分享的平台。北大方正人寿首席执行官兼总裁 李平在24日举行的“2020卓越竞争力保险峰会”上，北大方正人寿首席执行官兼总裁李平表示：“寿险行业的宗旨是服务于每一个客户，服务于每一个家庭。未来保险应该以客户为中心，解决客户的健康管理、财富管理等需求，构建以客户价值主张和队伍培养主张为核心的双循环。”实际上，目前保险行业的服务手段、创新能力、价值主张等已经产生了较大的改变，而这些改变来源于客户需求的改变，客户实际上已经不仅仅满足于一个保险保单的服务。对此，李平表示：“保险公司需要从过去传统保险服务延伸到养老、医疗两个产业链上下游，从而提供更多附加值服务。同时，借助于信息和科技手段，不断提升营销员队伍的销售服务能力，以此保证客户财富安全、身体健康等主张得以实现。”据了解，北大方正人寿深度聚焦客户财富安全和健康管理，从2019年就启动客户满意度项目，推动保险服务尤其是医疗附加服务升级，上线FIT健康管理程序，实时推动客户主动管理健康。同时，启动了“网电面”项目，探索“保险代理人+网电”相结合的全新销售模式。“我们建立的FIT健康管理平台，在增强营销员与客户的互动频次上发挥了重要作用。通过打造全新的‘CAB’业态，即客户+营销员+保险公司的三方联动，实现检测-改善-增值服务的链条式健康管理。不仅如此，依据FIT而建立的健康评价体系，还能为客户提供专业、定制化的健康服务，另一方面也能帮助我们设计出合理、适合的健康产品，降低整体的保险理赔。”李平表示。同时，李平强调：“未来的寿险客户可能都在线上，但是客户可能不仅仅只与保险营销员沟通，客户自己可能参照不同公司的产品、品牌、服务等各方面做出选择，所以，由网络到电销再到面谈是未来必然的营销趋势。”需要注意的是，保险需求的激活与唤醒，离不开保险从业人员，由此，客户对保险营销队伍的专业性也随之提出了更高的要求。“尤其寿险是保障终身的行业，我们更应该把保险营销业务伙伴的终身职业发展规划作为队伍主张之根本，紧紧围绕优选人、培养人两个方面，包括招聘、选才、辅导训练、激励机制、日常管理，帮助营销业务伙伴成为最专业的保险专家。”（编辑：曹驰 校对：颜京宁）
腾讯理财通“理智养老节”圆满收官，助力用户树立理智养老新观念	近日，由腾讯理财通联合行业协会、高校、金融机构、明星及社会大众发起，旨在提升社会大众养老投资基础知识，树立正确的养老财富储备认知，培育理性的长期投资文化的【理智养老节】圆满收官。【理智养老节】是腾讯理财通“全民智富计划”系列投资者教育活动的第二站，旨在通过普及养老理财知识，帮助投资者学会科学地规划养老理财，使用户能找到适合自己的养老理财思路，一站式地解决个人养老理财的疑惑，助力用户树立起“理智养老”的新观念。随着通货膨胀的压力加上中国越来越快的老龄化增速，如何养老已经成为全社会关注的问题。根据国际标准，退休之后想要维持相同的生活质量，个人养老金替代率应达到70%。而我国养老金替代率仅为45%左右，仍拥有25%的缺口，若想让老年生活过得幸福美满，就需要个人提前做好养老投资准备。对于个人来讲，养老不应是一个等到将老才需要考虑的问题，而应是未雨绸缪，提前通过科学的养老理财规划，实现老有所养，老有所依。尤其是当前通货膨胀造成资产贬值，无风险储蓄类产品利率不断下滑，仅靠稳健理财难以积累养老财富。所以，只有提前做好相应的准备，才能获得更稳妥幸福的老年生活。想要实现理智养老，可以先做一个简单的规划：首先对自己的老年生活状态做一个预估，计算所需要的生活费、医疗费用，以及一部分休闲娱乐支出，估算自己理想中老年生活费用支出的大体数额。其次，对退休后的收入来源，比如说国家统筹的养老保险、企业年金收入、商业养老保险、各类金融产品产生的收益等做一个科学的资产组合。最后，与养老相关的资产组合，需要具备科学性、合理性，且是建立在稳定、长远、可持续，能够帮助自己跑赢通货膨胀的基础上。除此之外，在做养老投资规划时，还要考虑到不同年龄的投资方式也应有所区别。比如说，当前较为年轻的青年人，投资周期较长，风险偏好较高，可以多布局股票型资产；进入到中年阶段，有一定积蓄，但生活开支压力较大，风险偏好适中，可以适当均衡配置股票型资产和债券型资产；而逐渐接近退休，更加看重账户资金安全，风险偏好较低，适合配置稳健型资产。如果自身没有一定的理财经验与基础，不懂得如何挑选基金，不妨考虑基金定投，也可以通过专业的基金投顾服务，帮助管理自己的产品，以此来为自己的养老提前做好准备。腾讯理财通为帮助广大投资者更好地进行养老理财投资，在旗下专业的投资顾问服务平台“一起投”上线“养老理财”板块专区，并与华夏基金展开合作，推出了“一起投华夏养老组合”。该组合针对不同年龄段投资者的特点，创新设计了“华夏90后浪”、“华夏80后当道”、“华夏70正好”三种投资策略，为用户带来一站式养老投资基金方案。组合将通过综合衡量用户的年龄水平和目标退休日期，根据风险承受能力的变化，遵循飞机“下滑曲线”进行自动调仓，逐渐降低股票资产配置比例，无需个人进行操作，简单省心，可满足不同年龄段投资者的长期养老投资需求，帮助解决频繁更换基金产品的难题。当前，腾讯理财通【理智养老节】已经圆满收官，但是养老问题仍待解决。养“基”防老，越早考虑，越早行动，就能越早受益。用户可以选择腾讯理财通一起投养老组合，通过专业的力量，长期的投资，更有可能获得可观的收益。想要拥有幸福、美满、体面的晚年生活，建议大家应尽快树立好“理智养老”观念，提前做好养老规划，通过科学合理的理财投资，获得养老所需的财富。
